dataset,model,instance_idx,method,spearman_mean,spearman_std,mse_mean,mse_std,n_budget,k_runs
adult,rf,8,b2_stratified,0.946959706959707,0.027960405431505513,0.0003020857536056142,0.00021663696790235457,5000,30
adult,rf,9,abc_corrected,0.895824175824176,0.06626680388236483,0.0047833946425530635,0.004569556882846195,5000,30
adult,rf,9,dirichlet_strong,0.9148717948717949,0.07129812452193701,0.0037495968533150237,0.004058748202703727,5000,30
adult,rf,9,b1_uniform,0.8336996336996338,0.05623492088730534,0.0023585977095991204,0.001011902331047303,5000,30
adult,rf,9,b2_stratified,0.974945054945055,0.016374240960022095,0.0002111009922681816,0.0003119200135677162,5000,30
adult,mlp,0,abc_corrected,0.8987545787545789,0.08809858118899451,0.002902027791970561,0.0024505004130469265,5000,30
adult,mlp,0,dirichlet_strong,0.9321611721611721,0.07316345276859676,0.0026081616533119105,0.002684076659088237,5000,30
adult,mlp,0,b1_uniform,0.8917216117216119,0.05355286300508133,0.005213512429974616,0.001125351212471679,5000,30
adult,mlp,0,b2_stratified,0.9805128205128206,0.014784020735805238,0.00020936491146094152,0.00011904283842492326,5000,30
adult,mlp,1,abc_corrected,0.8524542124542125,0.08895124542003115,0.0010352897939703578,0.0008370413028080271,5000,30
adult,mlp,1,dirichlet_strong,0.8512820512820515,0.08018883106799118,0.0011661879403960377,0.0011004805626147703,5000,30
adult,mlp,1,b1_uniform,0.8205128205128207,0.052392990240528424,0.0006130536773102886,0.00023986375525752708,5000,30
adult,mlp,1,b2_stratified,0.9676190476190477,0.018422541521009864,0.00013187518155974203,8.372650333771706e-05,5000,30
adult,mlp,2,abc_corrected,0.9343589743589746,0.051033621174131655,0.0004420746332035584,0.0005575923208819083,5000,30
adult,mlp,2,dirichlet_strong,0.927032967032967,0.06715931166517548,0.0004895424732191902,0.00048353382053335065,5000,30
adult,mlp,2,b1_uniform,0.9371428571428572,0.027734138996654677,0.00024455291994811696,0.00010581390337164127,5000,30
adult,mlp,2,b2_stratified,0.9802197802197803,0.011615822989291475,2.597614818144672e-05,1.874362941476258e-05,5000,30
adult,mlp,3,abc_corrected,0.8654945054945055,0.08179132026101456,0.0007919279596364837,0.0008398555588916691,5000,30
adult,mlp,3,dirichlet_strong,0.8452747252747254,0.08544825815827929,0.0010203990099364212,0.0010446984614147538,5000,30
adult,mlp,3,b1_uniform,0.9175091575091575,0.04192652934990408,0.00037994813269643973,0.00018433929461991857,5000,30
adult,mlp,3,b2_stratified,0.9895970695970696,0.007820662942172877,7.96220651412042e-05,5.074022756517384e-05,5000,30
adult,mlp,4,abc_corrected,0.9680586080586082,0.019851181895314214,0.0005716467351551721,0.0005248882901726056,5000,30
adult,mlp,4,dirichlet_strong,0.9724542124542126,0.022005355408473832,0.0006976714766256147,0.000626992108542268,5000,30
adult,mlp,4,b1_uniform,0.740805860805861,0.03673216531913398,0.0029596699092062934,0.0008302474533885118,5000,30
adult,mlp,4,b2_stratified,0.9903296703296703,0.007730933894958473,7.085933184438889e-05,5.890026973312774e-05,5000,30
adult,mlp,5,abc_corrected,0.8612454212454215,0.11571205356801727,0.0008309240068323965,0.0006618329646566998,5000,30
adult,mlp,5,dirichlet_strong,0.8795604395604395,0.12200791634466517,0.001051762812726835,0.0008503667601984751,5000,30
adult,mlp,5,b1_uniform,0.9148717948717949,0.043388027126218975,0.00019316069407914128,8.166394561995745e-05,5000,30
adult,mlp,5,b2_stratified,0.9818315018315019,0.014786198753456796,4.6017628022368054e-05,3.2365288535997774e-05,5000,30
adult,mlp,6,abc_corrected,0.8029304029304031,0.13631138636710263,0.002766945482073349,0.0024439839528217805,5000,30
